id_operacao,id_cliente,produto,regiao,data_inicio,valor_contratado,prazo_meses,taxa_juros_aa,data_vencimento,atraso_max_dias,default,ead,perda_real,lgd,renda_cliente,idade_cliente,score_credito,estado_civil,grau_instrucao,tempo_emprego,profissao,tipo_residencia,numero_dependentes,tem_cartao_credito,tem_outros_creditos,possui_veiculo,possui_imovel
O000001,C02275,Cheque Especial,Sudeste,2022-03-12 22:53:37.580839,3945.93,12,24.6,2023-03-12 22:53:37.580839,120,1,3870.0031605034014,2013.26,0.52,19084.82,36,409.0,Viúvo,Superior,24.7,Autônomo,Outros,5,Sim,Sim,Sim,Sim
O000002,C02222,Cheque Especial,Sul,2019-02-15 15:28:15.883510,21265.68,12,21.92,2020-02-15 15:28:15.883510,0,0,0.0,0.0,0.0,11502.92,69,801.0,Viúvo,Mestrado/Doutorado,21.4,Autônomo,Cedido,4,Sim,Sim,Não,Não
O000003,C01020,Crédito Pessoal,Sul,2020-05-16 22:17:02.920443,33352.04,24,13.37,2022-05-16 22:17:02.920443,60,0,0.0,0.0,0.0,2128.0,74,466.0,Solteiro,Mestrado/Doutorado,28.6,Analista,Financiada,2,Não,Sim,Sim,Sim
O000004,C01158,Financiamento Auto,Norte,2020-02-12 08:37:49.191306,745.96,36,23.1,2023-02-12 08:37:49.191306,0,0,0.0,0.0,0.0,17796.11,47,775.0,União Estável,Pós-graduação,17.4,Autônomo,Cedido,3,Sim,Não,Sim,Sim
O000005,C01650,Crédito Pessoal,Nordeste,2022-09-06 01:26:21.049381,24707.13,12,6.95,2023-09-06 01:26:21.049381,15,0,0.0,0.0,0.0,14611.78,31,340.0,Solteiro,Fundamental,19.3,Aposentado,Financiada,5,Não,Sim,Não,Não
O000006,C02191,Cheque Especial,Centro-Oeste,2022-05-19 23:26:15.176845,40423.32,36,23.06,2025-05-19 23:26:15.176845,0,0,0.0,0.0,0.0,6315.31,24,414.0,Solteiro,Fundamental,15.7,Autônomo,Financiada,2,Sim,Não,Sim,Sim
O000007,C00569,Crédito Pessoal,Sul,2023-06-17 05:27:54.235700,3018.15,36,22.79,2026-06-17 05:27:54.235700,180,1,2802.4515146778867,2605.11,0.93,18226.94,26,835.0,União Estável,Superior,21.9,Autônomo,Cedido,3,Sim,Não,Sim,Não
O000008,C01318,Cartão de Crédito,Sul,2019-06-08 15:55:15.129006,17357.07,60,17.94,2024-06-08 15:55:15.129006,0,0,0.0,0.0,0.0,15034.41,65,576.0,Divorciado,Mestrado/Doutorado,7.6,Professor,Própria,2,Não,Sim,Sim,Sim
O000009,C00277,Crédito Pessoal,Sudeste,2021-02-09 00:10:32.527973,20345.46,36,11.49,2024-02-09 00:10:32.527973,0,0,0.0,0.0,0.0,16268.46,32,589.0,União Estável,Fundamental,8.7,Estudante,Financiada,3,Sim,Sim,Sim,Sim
O000010,C01516,Consignado,Sudeste,2019-02-24 09:07:05.560995,35956.1,60,21.44,2024-02-24 09:07:05.560995,60,0,0.0,0.0,0.0,1639.91,32,368.0,Divorciado,Pós-graduação,26.7,Autônomo,Cedido,3,Não,Sim,Não,Não
