id_contrato,id_cliente,valor_contrato,saldo_devedor,data_contratacao,prazo_meses,status_contrato,data_carga
1,284,64082.95,48802.23,2024-02-24,36,liquidado,2025-03-28 18:36:55.490957
2,200,23469.5,21652.34,2020-06-26,60,inadimplente,2025-03-28 18:36:55.490957
3,581,74005.94,48737.01,2020-07-20,60,ativo,2025-03-28 18:36:55.490957
4,200,9394.41,7528.93,2020-07-11,60,inadimplente,2025-03-28 18:36:55.490957
5,408,11431.39,3714.05,2024-06-11,48,ativo,2025-03-28 18:36:55.490957
6,232,35971.89,18258.43,2021-11-06,36,inadimplente,2025-03-28 18:36:55.490957
7,211,66475.69,28560.41,2022-12-09,36,liquidado,2025-03-28 18:36:55.490957
8,261,55411.99,48838.69,2021-07-18,24,liquidado,2025-03-28 18:36:55.490957
9,623,9135.0,8929.48,2020-11-17,12,ativo,2025-03-28 18:36:55.490957
10,962,67067.69,20609.86,2023-08-07,48,liquidado,2025-03-28 18:36:55.490957
11,836,77688.74,58323.5,2024-01-25,24,inadimplente,2025-03-28 18:36:55.490957
12,190,89685.65,47134.37,2023-02-09,48,inadimplente,2025-03-28 18:36:55.490957
13,488,12281.71,7862.88,2024-10-20,48,liquidado,2025-03-28 18:36:55.490957
14,523,5329.83,2012.36,2024-01-05,24,inadimplente,2025-03-28 18:36:55.490957
15,969,37844.54,22799.59,2022-03-20,48,liquidado,2025-03-28 18:36:55.490957
16,985,17204.7,8458.76,2021-06-25,48,ativo,2025-03-28 18:36:55.490957
17,172,20549.58,18923.03,2021-03-04,60,inadimplente,2025-03-28 18:36:55.490957
18,122,81778.75,73842.86,2024-09-17,12,ativo,2025-03-28 18:36:55.490957
19,943,25971.86,21518.45,2020-05-01,60,liquidado,2025-03-28 18:36:55.490957
20,904,75071.0,51834.22,2023-04-05,48,inadimplente,2025-03-28 18:36:55.490957
21,256,54957.66,54367.9,2022-11-27,48,ativo,2025-03-28 18:36:55.490957
22,781,17316.67,6791.77,2023-03-29,48,inadimplente,2025-03-28 18:36:55.490957
23,562,22137.63,14480.15,2024-05-08,48,ativo,2025-03-28 18:36:55.490957
24,278,54681.48,39001.2,2023-08-19,36,inadimplente,2025-03-28 18:36:55.490957
25,630,56937.18,44537.38,2022-07-08,48,inadimplente,2025-03-28 18:36:55.490957
26,281,76351.03,31460.45,2025-02-07,24,liquidado,2025-03-28 18:36:55.490957
27,656,81363.47,66652.83,2024-04-09,36,ativo,2025-03-28 18:36:55.490957
28,900,10818.63,6286.12,2023-11-21,24,liquidado,2025-03-28 18:36:55.490957
29,491,31781.96,26049.88,2022-06-08,36,inadimplente,2025-03-28 18:36:55.490957
