id_cliente,ano_mes,tipo_transacao,valor_total,qtd_transacoes,validade_inicio,validade_fim,versao
1,2023-06-01,TED,4054.0,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2023-08-01,DOC,2170.21,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2023-09-01,TED,6615.52,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2023-09-01,pagamento,2490.85,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2023-11-01,TED,3297.44,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2023-11-01,pagamento,940.03,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2024-04-01,TED,9043.89,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2024-06-01,pagamento,2017.7,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2024-09-01,TED,3786.74,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
1,2024-11-01,TED,6307.64,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2023-03-01,pagamento,4456.31,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2023-07-01,TED,1824.33,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2023-08-01,saque,290.33,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2023-09-01,TED,6230.28,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2024-06-01,saque,1357.74,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2024-10-01,pagamento,3381.99,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
2,2025-02-01,pagamento,450.8,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2023-03-01,DOC,3156.41,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2023-03-01,TED,6767.31,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2023-04-01,DOC,9099.91,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2023-04-01,TED,4039.12,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2023-07-01,saque,1588.9,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2023-11-01,saque,615.49,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-01-01,TED,1115.69,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-01-01,saque,1073.85,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-03-01,DOC,7437.9,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-07-01,DOC,2246.73,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-08-01,saque,720.22,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-11-01,DOC,9806.33,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-11-01,TED,6648.37,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2024-11-01,saque,1431.66,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
3,2025-03-01,TED,1100.63,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
4,2023-05-01,saque,1548.08,1,2025-03-28 20:19:33.356800,2025-03-28 20:19:33.460095,1
