id_transacao,id_cliente,data_transacao,valor_transacao,tipo_transacao
1,438,2024-12-15,9498.66,doc
2,814,2024-12-02,9909.42,doc
3,912,2024-03-06,416.96,saque
4,974,2023-04-30,1734.11,pagamento
5,573,2024-10-29,1915.23,saque
6,163,2023-11-15,3633.84,pagamento
7,301,2023-10-30,1823.57,saque
8,47,2023-05-31,2054.6,ted
9,194,2025-02-21,3086.35,ted
10,317,2023-04-23,6739.81,ted
11,481,2024-02-13,1401.85,ted
12,426,2025-01-07,1985.99,saque
13,704,2023-06-16,3663.87,pagamento
14,864,2024-04-06,1248.43,ted
15,880,2023-12-16,535.35,saque
16,257,2023-10-31,2331.17,ted
17,95,2023-04-29,689.8,saque
18,385,2024-03-29,2247.5,ted
19,167,2024-10-16,629.75,ted
20,87,2024-12-04,326.4,pagamento
21,657,2023-11-20,3963.43,pagamento
22,518,2024-10-25,1322.58,ted
23,296,2024-04-15,1529.59,saque
24,135,2024-01-23,2862.63,pagamento
25,4,2023-05-19,1548.08,saque
26,652,2023-07-11,4402.65,pagamento
27,818,2023-12-27,2057.33,pagamento
28,544,2023-09-18,8011.27,doc
29,290,2023-04-21,9957.44,ted
30,234,2023-03-30,3873.77,doc
31,562,2024-05-05,561.52,saque
32,545,2024-07-23,3560.16,pagamento
33,997,2024-11-22,7545.28,ted
34,827,2024-05-28,1291.48,pagamento
35,748,2024-12-27,3162.86,pagamento
36,322,2023-12-31,8826.61,ted
37,412,2024-12-23,4826.17,pagamento
38,374,2023-11-03,1956.45,saque
39,802,2023-08-07,8580.55,ted
40,368,2024-02-06,121.43,saque
41,268,2023-05-04,808.52,saque
42,799,2023-10-11,638.86,saque
43,368,2024-08-28,5515.14,ted
44,892,2024-05-09,9130.7,doc
45,66,2024-01-27,4529.48,doc
46,617,2024-12-01,3463.79,doc
47,186,2024-01-10,1661.59,doc
48,691,2024-07-18,4756.67,pagamento
49,928,2023-08-10,806.4,saque
50,420,2023-06-27,4717.7,pagamento
51,661,2024-02-12,1060.6,doc
52,450,2023-05-09,1854.67,doc
53,227,2024-02-24,1788.5,saque
54,356,2025-02-05,1642.8,saque
55,727,2024-06-23,5813.3,doc
56,46,2023-11-04,2185.65,pagamento
57,407,2025-01-10,1476.79,doc
58,416,2024-02-24,2599.83,ted
59,3,2024-11-23,9806.33,doc
60,79,2024-04-18,1921.8,pagamento
61,775,2024-02-15,7409.01,ted
62,197,2025-03-16,293.78,saque
63,624,2024-03-24,8311.13,doc
64,879,2023-10-29,8012.17,ted
65,331,2024-08-25,852.47,saque
66,823,2023-09-23,2022.79,ted
67,916,2023-05-08,1450.29,pagamento
68,546,2024-06-13,1046.07,saque
69,787,2024-02-07,7653.6,ted
70,221,2024-09-03,8412.57,doc
71,635,2024-05-23,3647.32,ted
72,221,2023-09-18,120.64,pagamento
73,827,2023-09-21,921.27,doc
74,717,2023-09-22,1159.89,saque
75,205,2023-11-13,3289.58,pagamento
76,363,2023-09-28,379.78,pagamento
77,1,2024-09-03,3786.74,ted
78,640,2024-09-18,9534.81,doc
79,956,2023-04-15,4928.81,ted
80,668,2024-02-09,1483.23,ted
81,5,2024-08-04,1842.01,saque
82,273,2024-05-27,125.24,saque
83,212,2023-08-24,908.25,saque
84,221,2024-02-08,3432.64,pagamento
85,25,2024-06-18,9006.34,doc
86,720,2023-05-12,288.81,pagamento
87,907,2024-11-21,3093.72,doc
88,914,2024-09-14,2020.72,ted
89,733,2023-08-01,5449.35,ted
90,216,2023-06-12,3524.46,pagamento
91,602,2024-09-11,5461.65,doc
92,665,2023-05-05,7069.92,doc
93,770,2023-06-14,7244.01,ted
94,603,2023-12-06,436.31,saque
95,768,2024-09-26,1531.01,doc
96,581,2023-11-15,1619.11,saque
97,638,2023-10-10,4630.38,pagamento
98,624,2023-11-18,2144.69,ted
99,139,2024-10-08,530.6,saque
100,882,2024-07-07,2811.85,pagamento
101,992,2025-02-15,242.72,pagamento
102,293,2024-12-21,8399.91,doc
103,838,2024-03-03,748.27,saque
104,272,2024-09-30,397.47,pagamento
105,806,2024-02-12,3100.64,pagamento
106,883,2024-08-24,6951.16,doc
107,89,2023-03-25,4578.76,doc
108,82,2024-06-11,796.13,pagamento
109,603,2024-01-04,232.31,saque
110,781,2023-11-21,515.52,saque
111,590,2024-05-28,436.64,pagamento
112,968,2024-05-01,1088.18,saque
113,881,2024-09-13,9978.11,doc
114,819,2024-11-05,9722.51,ted
115,437,2023-05-06,9650.43,ted
116,417,2025-03-13,205.54,saque
117,469,2023-08-29,3250.66,pagamento
118,42,2024-02-04,3097.15,doc
119,33,2023-06-11,9368.27,doc
120,616,2025-01-06,7807.7,doc
121,929,2024-06-03,1929.71,saque
122,819,2023-04-01,1536.35,saque
123,581,2024-05-28,448.32,saque
124,379,2025-02-18,1542.44,saque
125,964,2024-09-30,1589.94,saque
126,922,2023-12-11,1219.39,saque
127,481,2023-12-25,95.57,pagamento
128,511,2023-11-14,1575.6,ted
129,216,2023-03-31,1329.61,pagamento
130,864,2024-10-04,9619.4,ted
131,985,2024-08-31,591.06,ted
132,47,2024-11-06,1633.35,doc
133,381,2023-07-27,433.56,pagamento
134,604,2023-10-08,419.23,saque
135,100,2024-02-08,4316.99,pagamento
136,192,2023-09-07,9199.07,doc
137,602,2024-05-11,2024.24,pagamento
138,268,2024-08-25,1195.16,doc
139,571,2023-06-03,6693.75,ted
140,407,2025-01-14,8008.94,doc
141,462,2023-11-29,4189.49,ted
142,991,2023-05-07,2528.45,pagamento
143,483,2023-10-04,1670.61,saque
144,111,2023-11-13,545.96,saque
145,678,2024-10-15,1364.09,pagamento
146,649,2025-02-24,9470.53,ted
147,583,2024-01-06,9671.19,ted
148,798,2023-04-16,1647.9,saque
149,69,2025-01-09,1785.98,pagamento
150,755,2023-03-28,1191.75,saque
151,573,2024-03-03,1331.92,saque
152,625,2024-03-12,175.53,saque
153,161,2024-09-28,867.04,saque
154,889,2023-09-09,8937.69,ted
155,698,2024-05-12,2893.13,pagamento
156,358,2023-11-10,1479.71,pagamento
157,827,2024-06-04,1071.75,saque
158,101,2025-03-13,178.61,pagamento
159,29,2023-10-27,1272.36,saque
160,379,2024-06-15,989.0,pagamento
161,911,2024-07-18,1239.77,doc
162,20,2025-02-13,4560.79,pagamento
163,446,2024-11-09,6707.6,ted
164,933,2023-11-22,6890.16,doc
165,33,2024-08-15,2623.24,ted
166,133,2024-11-16,1009.28,saque
167,126,2024-07-07,2059.76,pagamento
168,562,2024-05-21,7819.65,ted
169,818,2024-08-03,5386.1,doc
170,628,2023-08-26,7676.81,ted
171,187,2024-11-26,1930.08,saque
172,361,2025-03-11,8087.69,ted
173,694,2024-10-12,5682.96,doc
174,812,2024-11-19,3800.27,ted
175,149,2024-05-15,1887.86,doc
176,623,2024-03-21,6133.07,doc
177,355,2025-02-26,3596.8,doc
178,596,2024-01-12,415.0,saque
179,24,2023-12-25,9735.49,doc
180,222,2023-06-08,414.48,saque
181,742,2023-07-23,2896.38,pagamento
182,877,2024-09-27,932.07,pagamento
183,901,2023-05-21,8187.76,doc
184,465,2024-01-18,667.66,saque
185,936,2023-08-22,5098.44,doc
186,779,2025-02-07,7168.51,doc
187,520,2024-01-30,2202.98,pagamento
188,898,2025-02-21,771.36,saque
189,258,2023-07-12,1985.01,doc
190,842,2023-04-30,7387.22,ted
191,343,2024-04-08,1482.43,pagamento
192,394,2025-03-23,2266.54,ted
193,149,2024-05-22,5117.43,doc
194,149,2025-01-01,1507.26,doc
195,166,2023-11-29,269.25,pagamento
196,45,2024-12-13,189.27,saque
197,651,2024-12-09,918.29,pagamento
198,33,2024-04-22,1696.03,ted
199,803,2024-01-05,2601.65,pagamento
200,100,2025-01-13,9804.26,ted
201,487,2023-06-15,944.74,saque
202,271,2023-07-01,2494.92,pagamento
203,406,2024-10-15,2629.45,pagamento
204,206,2023-07-08,534.37,saque
205,610,2024-11-12,280.56,saque
206,982,2024-01-11,1939.09,doc
207,38,2024-02-01,347.73,saque
208,483,2025-03-11,1477.21,saque
209,390,2023-05-31,487.63,saque
210,425,2023-07-08,5447.92,ted
211,720,2024-04-30,1070.81,ted
212,655,2023-06-10,957.61,saque
213,952,2023-09-14,593.18,ted
214,179,2024-12-12,1487.96,doc
215,215,2023-12-31,3541.19,doc
216,73,2024-08-03,8407.66,ted
217,354,2024-12-31,1348.27,saque
218,625,2024-07-17,6900.76,ted
219,277,2025-01-25,1381.51,saque
220,658,2024-03-19,1696.24,pagamento
221,833,2023-06-28,629.03,ted
222,293,2024-08-14,1754.93,doc
223,56,2023-09-07,8246.58,ted
224,927,2023-09-09,7888.7,ted
225,201,2024-02-15,2555.13,doc
226,656,2023-05-03,2627.48,pagamento
227,821,2024-05-19,878.47,doc
228,55,2025-01-18,6221.34,doc
229,552,2023-11-13,761.91,saque
230,138,2024-03-26,1517.1,saque
231,676,2023-10-15,2713.81,ted
232,420,2025-02-02,4343.74,pagamento
233,608,2024-11-13,1721.4,ted
234,90,2025-01-16,948.86,saque
235,638,2025-03-14,1352.26,ted
236,204,2024-05-14,3101.03,pagamento
237,609,2023-11-19,1107.67,saque
238,600,2023-06-25,1895.77,ted
239,140,2023-03-24,1956.07,saque
240,511,2024-02-08,742.91,saque
241,114,2025-01-01,3031.37,doc
242,691,2025-03-05,3524.18,pagamento
243,823,2024-11-05,1919.55,saque
244,870,2023-03-28,4373.18,pagamento
245,942,2024-10-10,1631.45,ted
246,238,2024-10-15,1986.83,ted
247,25,2023-10-15,5140.92,ted
248,465,2024-03-28,4932.67,pagamento
249,497,2023-07-14,5422.76,ted
250,699,2023-10-15,5624.63,ted
251,707,2023-12-19,67.11,saque
252,425,2024-04-07,240.45,saque
253,283,2024-09-15,3539.24,pagamento
254,155,2024-06-28,4478.83,pagamento
255,239,2023-07-31,4880.67,pagamento
256,512,2024-04-04,3082.94,doc
257,40,2023-12-02,392.14,saque
258,391,2024-09-17,8940.1,doc
259,176,2024-12-21,895.07,saque
260,931,2024-03-07,1427.0,doc
261,826,2023-11-01,3778.52,pagamento
262,327,2024-01-13,1991.32,saque
263,762,2024-08-26,8628.46,ted
264,921,2025-01-08,4144.39,pagamento
265,243,2023-05-14,9201.92,ted
266,500,2025-03-11,1902.11,saque
267,322,2024-08-14,1278.7,doc
268,711,2024-09-12,8369.07,doc
269,139,2024-06-19,1667.11,saque
270,304,2024-08-20,2489.57,ted
271,7,2024-08-28,3906.92,ted
272,145,2025-02-16,765.73,doc
273,124,2024-10-19,1552.35,saque
274,780,2025-02-02,7138.17,ted
275,244,2023-08-31,5309.27,ted
276,879,2023-06-07,7555.0,doc
277,954,2024-01-03,1196.01,pagamento
278,500,2024-02-28,763.05,ted
279,553,2024-11-20,2873.15,pagamento
280,610,2024-12-25,5609.97,doc
281,335,2023-10-17,4890.98,pagamento
282,137,2024-04-20,8398.21,doc
283,663,2023-06-03,510.04,saque
284,343,2024-08-15,406.07,saque
285,736,2025-02-28,2638.37,ted
286,65,2023-09-27,3493.94,pagamento
287,50,2023-03-30,133.73,saque
288,115,2024-09-02,288.31,saque
289,530,2024-07-11,4622.77,doc
290,269,2023-04-27,4469.51,pagamento
291,299,2023-09-28,6548.85,doc
292,503,2024-11-27,3408.42,pagamento
293,649,2024-03-22,2840.7,pagamento
294,18,2023-11-07,1461.99,saque
295,983,2023-07-30,7058.59,ted
296,531,2023-04-13,7282.45,doc
297,74,2024-04-27,4089.91,doc
298,116,2024-03-11,1919.29,saque
299,669,2024-07-23,8491.34,doc
300,222,2023-06-25,290.41,saque
301,973,2023-05-31,3580.37,doc
302,375,2024-02-14,5620.14,ted
303,498,2024-10-07,3715.3,pagamento
304,383,2024-10-07,4447.14,pagamento
305,451,2023-06-06,1581.57,saque
306,550,2025-01-10,235.99,pagamento
307,8,2023-04-08,1801.97,saque
308,880,2023-06-27,9834.63,doc
309,467,2024-07-01,9874.7,doc
310,88,2024-01-18,343.17,saque
311,802,2024-04-12,2270.17,doc
312,996,2024-09-13,1726.42,doc
313,71,2024-02-25,3081.1,ted
314,811,2024-01-05,1395.97,ted
315,193,2024-01-28,9840.95,ted
316,780,2023-04-07,8826.08,doc
317,570,2023-08-31,9544.55,ted
318,491,2023-05-02,3315.0,pagamento
319,548,2023-04-13,197.51,saque
320,505,2025-01-16,9897.93,ted
321,995,2024-03-02,9639.72,ted
322,503,2024-12-05,8811.38,doc
323,96,2024-12-05,7724.77,ted
324,615,2024-09-06,1852.26,saque
325,32,2023-06-19,4227.23,pagamento
326,779,2024-04-10,3393.51,ted
327,201,2025-02-10,1874.53,saque
328,951,2024-03-21,3332.36,doc
329,810,2023-10-01,6170.35,doc
330,391,2023-09-11,9243.58,ted
331,926,2024-08-13,3691.32,pagamento
332,808,2024-02-17,8183.82,ted
333,560,2025-02-11,599.83,ted
334,916,2024-09-18,577.66,pagamento
335,108,2025-02-02,6253.44,doc
336,52,2023-05-22,2804.12,doc
337,189,2024-11-20,3384.71,doc
